row,ticket,module,summary,category,sub_category,issue
790,PFT-8884,Student Portal/App,My Classroom - student picker not select pupils asbsent,Classroom Management & Seating Plans,Seating Plan Usability and Creation,Classroom tag but module not Timetable and no seating/classroom in summary/comment
3335,PFT-2599,Student Portal/App,Ability to turn off 'Student Indicators' in My Classroom,Classroom Management & Seating Plans,Seating Plan Usability and Creation,Classroom tag but module not Timetable and no seating/classroom in summary/comment
4094,PFT-4376,Assessments,My Classroom - needs improving!,Classroom Management & Seating Plans,Seating Plan Usability and Creation,Classroom tag but module not Timetable and no seating/classroom in summary/comment
5795,PFT-4376,Assessments,My Classroom - needs improving!,Classroom Management & Seating Plans,Seating Plan Usability and Creation,Classroom tag but module not Timetable and no seating/classroom in summary/comment
7099,PFT-5154,Communications,My Classroom - Total Points Not Resetting Each Day and Lesson,Classroom Management & Seating Plans,Seating Plan Usability and Creation,Classroom tag but module not Timetable and no seating/classroom in summary/comment
